,X30,X90,X180,X360,X720,X1080,X1800,X2520,X3600
25.11.2011,9.6566,10.0104,10.3358,10.6413,10.7488,10.6875,10.4788,10.2558,9.9332
28.11.2011,9.5266,9.9224,10.2979,10.6328,10.7285,10.6376,10.3932,10.1698,9.8754
29.11.2011,9.5659,9.9953,10.3819,10.6766,10.7359,10.6461,10.402,10.1535,9.7952
30.11.2011,9.7435,9.9977,10.2254,10.3807,10.4412,10.4229,10.257,9.9801,9.4742
1.12.2011,9.6155,9.9122,10.1793,10.3352,10.3518,10.3092,10.1734,10.0055,9.7289
2.12.2011,9.2111,9.6361,10.019,10.2446,10.3085,10.2912,10.1752,10.0016,9.695
5.12.2011,9.5871,9.7874,9.9739,10.1119,10.1759,10.1752,10.1005,9.9714,9.7343
6.12.2011,9.2413,9.6369,9.9766,10.1609,10.1955,10.1833,10.135,10.0785,9.9888
7.12.2011,9.2702,10.1758,10.276,8.6172,10.103,7.8956,9.6797,10.5922,10.8019
8.12.2011,9.4468,9.7807,10.0533,10.1463,10.0782,10.0256,9.966,9.9404,9.9233
9.12.2011,8.9506,9.5453,10.0236,10.1824,10.1286,10.1059,9.9945,9.7657,9.3111
12.12.2011,9.4654,9.9235,10.2689,10.3416,10.2206,10.1505,9.9903,9.7605,9.344
13.12.2011,9.5015,10.0073,10.3713,10.4003,10.2144,10.1286,9.9676,9.7396,9.3206
14.12.2011,9.5456,10.0634,10.4499,10.4652,10.19,10.0226,9.8152,9.6783,9.5093
15.12.2011,10.6063,10.6796,10.7013,10.5889,10.3279,10.1247,9.8462,9.6827,9.5287
16.12.2011,10.5508,10.7073,10.7754,10.6358,10.3201,10.1119,9.8545,9.7155,9.5969
19.12.2011,10.719,10.8547,10.9131,10.783,10.4412,10.1782,9.8583,9.7313,9.6956
20.12.2011,10.7321,10.8679,10.9069,10.7253,10.3602,10.1168,9.7873,9.5602,9.2906
21.12.2011,10.6318,10.7244,10.7728,10.6996,10.4616,10.2466,9.9104,9.6698,9.3857
22.12.2011,10.6254,10.7281,10.7823,10.7091,10.472,10.2565,9.9155,9.6654,9.3627
23.12.2011,10.5836,10.7258,10.7938,10.6888,10.4128,10.1974,9.8766,9.6427,9.3495
